,Week 1,Week 2,Week 3,Week 4,Week 5
Morning,Meeting to discuss direction,Hands-on lab practice,"Experience protein design workflow with Saprot and kaggle,Learn basic Python",Hands-on high-performance server usage,"Experience manual and automated labs,Learn large models and common bioinformatics tools"
Afternoon,Learn basic biology,"Understand synthetic biology competitions,Operate pipetting robots and molecular cloning",Learn basics of AI and machine learning,Complete simple experiments and Prepare reports,Reporting
